calle
11 DE SEPTIEMBRE DE 1888
15 DE NOVIEMBRE DE 1889
24 DE NOVIEMBRE
2 DE ABRIL DE 1982
ACEVEDO
ACHALA
ACHA, MARIANO, GRAL.
ACOSTA, MARIANO
ACOSTA, MARIANO AV.
ACOYTE
ACOYTE AV.
ACUÑA DE FIGUEROA, FRANCISCO
AGRELO
AGUERO
AGUIRRE
ALBARELLOS AV.
ALBARINO
ALBERDI, JUAN BAUTISTA AV.
ALBERTI
ALCORTA, AMANCIO AV.
ALEM, LEANDRO N. AV.
ALMAFUERTE AV.
ALSINA, ADOLFO
ALVAREZ, CRISOSTOMO
ALVAREZ, DONATO, TTE. GRAL.
ALVAREZ, DONATO, TTE. GRAL. AV.
ALVAREZ JONTE
ALVAREZ JONTE AV.
ALVAREZ, JULIAN
ALVAREZ THOMAS AV.
ALVEAR AV.
ALVEAR, MARCELO T. DE
AMBROSETTI, JUAN B.
AMENABAR
ANDONAEGUI
ANTARTIDA ARGENTINA AV.
AQUINO
ARANGUREN, JUAN F., DR.
ARAOZ
ARCOS
ARENAL, CONCEPCION
AREVALO
ARGENTINA AV.
ARMAUER HANSEN, GERARDO, DR.
ARREGUI
ARREGUI AV.
ARTIGAS, JOSE GERVASIO, GRAL.
ASAMBLEA AV.
ASUNCION
ATUEL
AUSTRALIA AV.
AVALOS
AVELLANEDA
AVELLANEDA AV.
AYACUCHO
AZCUENAGA
AZOPARDO
AZUL
BAHIA BLANCA
BAIGORRIA
BALBASTRO
BALBIN, RICARDO, DR. AV.
BARCA CABO DE HORNOS
BARCO CENTENERA DEL
BARCO CENTENERA DEL AV.
BARRAGAN
BARROS PAZOS, JOSE
BASUALDO
BEAZLEY
BEIRO, FRANCISCO AV.
BELAUSTEGUI, LUIS, DR.
BELGRANO
BELGRANO AV.
BELLO, ANDRES
BENEDETTI, OSVALDO E., DIP.NAC.
BERMUDEZ
BERON DE ASTRADA
BILLINGHURST
BLANCO ENCALADA
BLANES, JUAN MANUEL
BOCAYUVA, QUINTINO
BOEDO
BOEDO AV.
BOLIVAR
BONAVENA, OSCAR NATALIO
BONPLAND
BORGES, JORGE LUIS
BOUCHARD
BOYACA
BOYACA AV.
BRAGADO
BRANDSEN
BRASIL
BRASIL AV.
BRAVO, MARIO
BRIN, MINISTRO
BROWN, ALTE. AV.
BRUIX AV.
BRUSELAS
BUCARELLI
BULLRICH, INT. AV.
BULNES
BYNON
CABELLO
CABILDO AV.
